           |    ZeroHeuristic      |    BlockingHeuristic  |    AdvancedHeuristic 
name       |    nodes dpth  br.fac |    nodes dpth  br.fac |    nodes dpth  br.fac
-----------+-----------------------+-----------------------+----------------------
Jam-1      |    11587    8   3,066 |     8678    8   2,950 |     5830    8   2,797
Jam-2      |    24178    8   3,380 |     6201    8   2,820 |     9488    8   2,985
Jam-3      |     7814   14   1,789 |     5007   14   1,728 |     3686   14   1,686
Jam-4      |     3491    9   2,326 |     1303    9   2,061 |     1671    9   2,125
Jam-5      |    24040    9   2,928 |     8353    9   2,583 |     9513    9   2,623
Jam-6      |    16046    9   2,792 |     7339    9   2,543 |    10332    9   2,649
Jam-7      |    56222   13   2,215 |    24529   13   2,068 |    19821   13   2,032
Jam-8      |     6470   12   1,957 |     5864   12   1,940 |     6317   12   1,953
Jam-9      |     5913   12   1,941 |     3704   12   1,860 |     3330   12   1,842
Jam-10     |    16197   17   1,677 |    12787   17   1,651 |    12858   17   1,652
Jam-11     |     6848   25   1,349 |     5918   25   1,340 |     6126   25   1,342
Jam-12     |    11686   17   1,642 |     7247   17   1,591 |     4137   17   1,534
Jam-13     |    72952   16   1,923 |    33949   16   1,827 |    51430   16   1,879
Jam-14     |   116381   17   1,901 |    44014   17   1,787 |    57065   17   1,817
Jam-15     |     3197   23   1,338 |     3171   23   1,337 |     3168   23   1,337
Jam-16     |    23072   21   1,534 |    17662   21   1,513 |    17583   21   1,513
Jam-17     |    19580   24   1,436 |    18287   24   1,432 |    18632   24   1,433
Jam-18     |    13881   25   1,392 |    12024   25   1,383 |     9506   25   1,369
Jam-19     |     3585   22   1,366 |     3533   22   1,365 |     3436   22   1,363
Jam-20     |    13881   10   2,464 |     4925   10   2,203 |     5257   10   2,218
Jam-21     |     1690   21   1,334 |     1590   21   1,329 |     1578   21   1,329
Jam-22     |    32371   26   1,423 |    22704   26   1,402 |    21885   26   1,400
Jam-23     |    19901   29   1,342 |    11978   29   1,316 |    13561   29   1,322
Jam-24     |    46313   25   1,468 |    43306   25   1,464 |    42941   25   1,463
Jam-25     |    82852   27   1,457 |    64644   27   1,443 |    75738   27   1,452
Jam-26     |    40855   28   1,397 |    34202   28   1,387 |    38607   28   1,394
Jam-27     |    21342   28   1,362 |    17927   28   1,352 |    18507   28   1,354
Jam-28     |    15591   30   1,316 |    11162   30   1,299 |    11773   30   1,302
Jam-29     |    38355   31   1,345 |    38111   31   1,345 |    38031   31   1,345
Jam-30     |     8610   32   1,264 |     7930   32   1,260 |     7917   32   1,260
Jam-31     |    32852   37   1,270 |    31236   37   1,268 |    31552   37   1,269
Jam-32     |     3292   37   1,184 |     2853   37   1,178 |     2965   37   1,180
Jam-33     |    37590   40   1,250 |    24507   40   1,235 |    33648   40   1,246
Jam-34     |    37544   43   1,229 |    36076   43   1,227 |    36088   43   1,227
Jam-35     |    34045   43   1,225 |    33326   43   1,225 |    32629   43   1,224
Jam-36     |    22760   44   1,207 |    18627   44   1,201 |    18032   44   1,200
Jam-37     |    15270   47   1,179 |    15231   47   1,179 |    15072   47   1,179
Jam-38     |    28560   48   1,192 |    24130   48   1,187 |    25007   48   1,188
Jam-39     |    24877   50   1,179 |    24361   50   1,179 |    24277   50   1,178
Jam-40     |    24467   51   1,174 |    22288   51   1,172 |    20404   51   1,170
